Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Gradient Boosting,0.8695,0.792,0.4864864864864865,0.6027397260273972,0.867781494900139
Random Forest,0.87,0.8209606986899564,0.4619164619164619,0.5911949685534591,0.8646103730849495
Decision Tree,0.859,0.7729257641921398,0.4348894348894349,0.5566037735849056,0.8374314221771849
Logistic Regression,0.806,0.5703703703703704,0.1891891891891892,0.28413284132841327,0.7735007735007735
